"ID","Nombre Pais","Codigo Pais","Año","PIB (MM USD)"
"1","Argentina","ARG",2012,545982
"2","Bolivia","BOL",2012,27084
"3","Brazil","BRA",2012,2465228
"4","Chile","CHL",2012,267176
"5","Colombia","COL",2012,370921
"6","Ecuador","ECU",2012,87925
"7","Peru","PER",2012,192649
"8","Paraguay","PRY",2012,33296
"9","Uruguay","URY",2012,51264
"10","Argentina","ARG",2013,552025
"11","Bolivia","BOL",2013,30659
"12","Brazil","BRA",2013,2472819
"13","Chile","CHL",2013,277239
"14","Colombia","COL",2013,382116
"15","Ecuador","ECU",2013,95130
"16","Peru","PER",2013,201175
"17","Paraguay","PRY",2013,38651
"18","Uruguay","URY",2013,57531
"19","Argentina","ARG",2014,526320
"20","Bolivia","BOL",2014,32996
"21","Brazil","BRA",2014,2456044
"22","Chile","CHL",2014,259405
"23","Colombia","COL",2014,381112
"24","Ecuador","ECU",2014,101726
"25","Peru","PER",2014,200789
"26","Paraguay","PRY",2014,40378
"27","Uruguay","URY",2014,57236
"28","Argentina","ARG",2015,594749
"29","Bolivia","BOL",2015,33000
"30","Brazil","BRA",2015,1802212
"31","Chile","CHL",2015,242497
"32","Colombia","COL",2015,293482
"33","Ecuador","ECU",2015,99290
"34","Peru","PER",2015,189805
"35","Paraguay","PRY",2015,36211
"36","Uruguay","URY",2015,53274
"37","Argentina","ARG",2016,557531
"38","Bolivia","BOL",2016,33941
"39","Brazil","BRA",2016,1795693
"40","Chile","CHL",2016,249299
"41","Colombia","COL",2016,282825
"42","Ecuador","ECU",2016,99938
"43","Peru","PER",2016,191896
"44","Paraguay","PRY",2016,36090
"45","Uruguay","URY",2016,57237
"46","Argentina","ARG",2017,643629
"47","Bolivia","BOL",2017,37509
"48","Brazil","BRA",2017,2063515
"49","Chile","CHL",2017,276365
"50","Colombia","COL",2017,311884
"51","Ecuador","ECU",2017,104296
"52","Peru","PER",2017,211007
"53","Paraguay","PRY",2017,38997
"54","Uruguay","URY",2017,64234
"55","Argentina","ARG",2018,524820
"56","Bolivia","BOL",2018,40288
"57","Brazil","BRA",2018,1916934
"58","Chile","CHL",2018,295403
"59","Colombia","COL",2018,334198
"60","Ecuador","ECU",2018,107562
"61","Peru","PER",2018,222597
"62","Paraguay","PRY",2018,40225
"63","Uruguay","URY",2018,64515
"64","Argentina","ARG",2019,452818
"65","Bolivia","BOL",2019,40895
"66","Brazil","BRA",2019,1873288
"67","Chile","CHL",2019,278585
"68","Colombia","COL",2019,323110
"69","Ecuador","ECU",2019,108108
"70","Peru","PER",2019,228323
"71","Paraguay","PRY",2019,37925
"72","Uruguay","URY",2019,61231
"73","Argentina","ARG",2020,389591
"74","Bolivia","BOL",2020,36630
"75","Brazil","BRA",2020,1448566
"76","Chile","CHL",2020,252727
"77","Colombia","COL",2020,270300
"78","Ecuador","ECU",2020,99291
"79","Peru","PER",2020,201705
"80","Paraguay","PRY",2020,35432
"81","Uruguay","URY",2020,53561
"82","Argentina","ARG",2021,491493
"83","Bolivia","BOL",2021,40408
"84","Brazil","BRA",2021,1608981
"85","Chile","CHL",2021,317059
"86","Colombia","COL",2021,314322
"87","Ecuador","ECU",2021,106166
"88","Peru","PER",2021,223249
"89","Paraguay","PRY",2021,38987
"90","Uruguay","URY",2021,59320
